,date,FFR
5146,1982-09-27,10.25
5147,1982-09-28,10.25
5148,1982-09-29,10.25
5149,1982-09-30,10.25
5150,1982-10-01,10.0
5151,1982-10-02,10.0
5152,1982-10-03,10.0
5153,1982-10-04,10.0
5154,1982-10-05,10.0
5155,1982-10-06,10.0
5156,1982-10-07,9.5
5157,1982-10-08,9.5
5158,1982-10-09,9.5
5159,1982-10-10,9.5
5160,1982-10-11,9.5
5161,1982-10-12,9.5
5162,1982-10-13,9.5
5163,1982-10-14,9.5
5164,1982-10-15,9.5
5165,1982-10-16,9.5
5166,1982-10-17,9.5
5167,1982-10-18,9.5
5168,1982-10-19,9.5
5169,1982-10-20,9.5
5170,1982-10-21,9.5
5171,1982-10-22,9.5
5172,1982-10-23,9.5
5173,1982-10-24,9.5
5174,1982-10-25,9.5
5175,1982-10-26,9.5
5176,1982-10-27,9.5
5177,1982-10-28,9.5
5178,1982-10-29,9.5
5179,1982-10-30,9.5
5180,1982-10-31,9.5
5181,1982-11-01,9.5
5182,1982-11-02,9.5
5183,1982-11-03,9.5
5184,1982-11-04,9.5
5185,1982-11-05,9.5
5186,1982-11-06,9.5
5187,1982-11-07,9.5
5188,1982-11-08,9.5
5189,1982-11-09,9.5
5190,1982-11-10,9.5
5191,1982-11-11,9.5
5192,1982-11-12,9.5
5193,1982-11-13,9.5
5194,1982-11-14,9.5
5195,1982-11-15,9.5
5196,1982-11-16,9.5
5197,1982-11-17,9.5
5198,1982-11-18,9.5
5199,1982-11-19,9.0
5200,1982-11-20,9.0
5201,1982-11-21,9.0
5202,1982-11-22,9.0
5203,1982-11-23,9.0
5204,1982-11-24,9.0
5205,1982-11-25,9.0
5206,1982-11-26,9.0
5207,1982-11-27,9.0
5208,1982-11-28,9.0
5209,1982-11-29,9.0
5210,1982-11-30,9.0
5211,1982-12-01,9.0
5212,1982-12-02,9.0
5213,1982-12-03,9.0
5214,1982-12-04,9.0
5215,1982-12-05,9.0
5216,1982-12-06,9.0
5217,1982-12-07,9.0
5218,1982-12-08,9.0
5219,1982-12-09,9.0
5220,1982-12-10,9.0
5221,1982-12-11,9.0
5222,1982-12-12,9.0
5223,1982-12-13,9.0
5224,1982-12-14,8.5
5225,1982-12-15,8.5
5226,1982-12-16,8.5
5227,1982-12-17,8.5
5228,1982-12-18,8.5
5229,1982-12-19,8.5
5230,1982-12-20,8.5
5231,1982-12-21,8.5
5232,1982-12-22,8.5
5233,1982-12-23,8.5
5234,1982-12-24,8.5
5235,1982-12-25,8.5
5236,1982-12-26,8.5
5237,1982-12-27,8.5
5238,1982-12-28,8.5
5239,1982-12-29,8.5
5240,1982-12-30,8.5
5241,1982-12-31,8.5
5242,1983-01-01,8.5
5243,1983-01-02,8.5
5244,1983-01-03,8.5
5245,1983-01-04,8.5
5246,1983-01-05,8.5
5247,1983-01-06,8.5
5248,1983-01-07,8.5
5249,1983-01-08,8.5
5250,1983-01-09,8.5
5251,1983-01-10,8.5
5252,1983-01-11,8.5
5253,1983-01-12,8.5
5254,1983-01-13,8.5
5255,1983-01-14,8.5
5256,1983-01-15,8.5
5257,1983-01-16,8.5
5258,1983-01-17,8.5
5259,1983-01-18,8.5
5260,1983-01-19,8.5
5261,1983-01-20,8.5
5262,1983-01-21,8.5
5263,1983-01-22,8.5
5264,1983-01-23,8.5
5265,1983-01-24,8.5
5266,1983-01-25,8.5
5267,1983-01-26,8.5
5268,1983-01-27,8.5
5269,1983-01-28,8.5
5270,1983-01-29,8.5
5271,1983-01-30,8.5
5272,1983-01-31,8.5
5273,1983-02-01,8.5
5274,1983-02-02,8.5
5275,1983-02-03,8.5
5276,1983-02-04,8.5
5277,1983-02-05,8.5
5278,1983-02-06,8.5
5279,1983-02-07,8.5
5280,1983-02-08,8.5
5281,1983-02-09,8.5
5282,1983-02-10,8.5
5283,1983-02-11,8.5
5284,1983-02-12,8.5
5285,1983-02-13,8.5
5286,1983-02-14,8.5
5287,1983-02-15,8.5
5288,1983-02-16,8.5
5289,1983-02-17,8.5
5290,1983-02-18,8.5
5291,1983-02-19,8.5
5292,1983-02-20,8.5
5293,1983-02-21,8.5
5294,1983-02-22,8.5
5295,1983-02-23,8.5
5296,1983-02-24,8.5
5297,1983-02-25,8.5
5298,1983-02-26,8.5
5299,1983-02-27,8.5
5300,1983-02-28,8.5
5301,1983-03-01,8.5
5302,1983-03-02,8.5
5303,1983-03-03,8.5
5304,1983-03-04,8.5
5305,1983-03-05,8.5
5306,1983-03-06,8.5
5307,1983-03-07,8.5
5308,1983-03-08,8.5
5309,1983-03-09,8.5
5310,1983-03-10,8.5
5311,1983-03-11,8.5
5312,1983-03-12,8.5
5313,1983-03-13,8.5
5314,1983-03-14,8.5
5315,1983-03-15,8.5
5316,1983-03-16,8.5
5317,1983-03-17,8.5
5318,1983-03-18,8.5
5319,1983-03-19,8.5
5320,1983-03-20,8.5
5321,1983-03-21,8.5
5322,1983-03-22,8.5
5323,1983-03-23,8.5
5324,1983-03-24,8.5
5325,1983-03-25,8.5
5326,1983-03-26,8.5
5327,1983-03-27,8.5
5328,1983-03-28,8.5
5329,1983-03-29,8.5
5330,1983-03-30,8.5
5331,1983-03-31,8.625
5332,1983-04-01,8.625
5333,1983-04-02,8.625
5334,1983-04-03,8.625
5335,1983-04-04,8.625
5336,1983-04-05,8.625
5337,1983-04-06,8.625
5338,1983-04-07,8.625
5339,1983-04-08,8.625
5340,1983-04-09,8.625
5341,1983-04-10,8.625
5342,1983-04-11,8.625
5343,1983-04-12,8.625
5344,1983-04-13,8.625
5345,1983-04-14,8.625
5346,1983-04-15,8.625
5347,1983-04-16,8.625
5348,1983-04-17,8.625
5349,1983-04-18,8.625
5350,1983-04-19,8.625
5351,1983-04-20,8.625
5352,1983-04-21,8.625
5353,1983-04-22,8.625
5354,1983-04-23,8.625
5355,1983-04-24,8.625
5356,1983-04-25,8.625
5357,1983-04-26,8.625
5358,1983-04-27,8.625
5359,1983-04-28,8.625
5360,1983-04-29,8.625
5361,1983-04-30,8.625
5362,1983-05-01,8.625
5363,1983-05-02,8.625
5364,1983-05-03,8.625
5365,1983-05-04,8.625
5366,1983-05-05,8.625
5367,1983-05-06,8.625
5368,1983-05-07,8.625
5369,1983-05-08,8.625
5370,1983-05-09,8.625
5371,1983-05-10,8.625
5372,1983-05-11,8.625
5373,1983-05-12,8.625
5374,1983-05-13,8.625
5375,1983-05-14,8.625
5376,1983-05-15,8.625
5377,1983-05-16,8.625
5378,1983-05-17,8.625
5379,1983-05-18,8.625
5380,1983-05-19,8.625
5381,1983-05-20,8.625
5382,1983-05-21,8.625
5383,1983-05-22,8.625
5384,1983-05-23,8.625
5385,1983-05-24,8.625
5386,1983-05-25,8.75
5387,1983-05-26,8.75
5388,1983-05-27,8.75
5389,1983-05-28,8.75
5390,1983-05-29,8.75
5391,1983-05-30,8.75
5392,1983-05-31,8.75
5393,1983-06-01,8.75
5394,1983-06-02,8.75
5395,1983-06-03,8.75
5396,1983-06-04,8.75
5397,1983-06-05,8.75
5398,1983-06-06,8.75
5399,1983-06-07,8.75
5400,1983-06-08,8.75
5401,1983-06-09,8.75
5402,1983-06-10,8.75
5403,1983-06-11,8.75
5404,1983-06-12,8.75
5405,1983-06-13,8.75
5406,1983-06-14,8.75
5407,1983-06-15,8.75
5408,1983-06-16,8.75
5409,1983-06-17,8.75
5410,1983-06-18,8.75
5411,1983-06-19,8.75
5412,1983-06-20,8.75
5413,1983-06-21,8.75
5414,1983-06-22,8.75
5415,1983-06-23,8.75
5416,1983-06-24,9.0
5417,1983-06-25,9.0
5418,1983-06-26,9.0
5419,1983-06-27,9.0
5420,1983-06-28,9.0
5421,1983-06-29,9.0
5422,1983-06-30,9.0
5423,1983-07-01,9.0
5424,1983-07-02,9.0
5425,1983-07-03,9.0
5426,1983-07-04,9.0
5427,1983-07-05,9.0
5428,1983-07-06,9.0
5429,1983-07-07,9.0
5430,1983-07-08,9.0
5431,1983-07-09,9.0
5432,1983-07-10,9.0
5433,1983-07-11,9.0
5434,1983-07-12,9.0
5435,1983-07-13,9.0
5436,1983-07-14,9.25
5437,1983-07-15,9.25
5438,1983-07-16,9.25
5439,1983-07-17,9.25
5440,1983-07-18,9.25
5441,1983-07-19,9.25
5442,1983-07-20,9.4375
5443,1983-07-21,9.4375
5444,1983-07-22,9.4375
5445,1983-07-23,9.4375
5446,1983-07-24,9.4375
5447,1983-07-25,9.4375
5448,1983-07-26,9.4375
5449,1983-07-27,9.4375
5450,1983-07-28,9.4375
5451,1983-07-29,9.4375
5452,1983-07-30,9.4375
5453,1983-07-31,9.4375
5454,1983-08-01,9.4375
5455,1983-08-02,9.4375
5456,1983-08-03,9.4375
5457,1983-08-04,9.4375
5458,1983-08-05,9.4375
5459,1983-08-06,9.4375
5460,1983-08-07,9.4375
5461,1983-08-08,9.4375
5462,1983-08-09,9.4375
5463,1983-08-10,9.4375
5464,1983-08-11,9.5625
5465,1983-08-12,9.5625
5466,1983-08-13,9.5625
5467,1983-08-14,9.5625
5468,1983-08-15,9.5625
5469,1983-08-16,9.5625
5470,1983-08-17,9.5
5471,1983-08-18,9.5
5472,1983-08-19,9.5
5473,1983-08-20,9.5
5474,1983-08-21,9.5
5475,1983-08-22,9.5
5476,1983-08-23,9.5
5477,1983-08-24,9.5
5478,1983-08-25,9.5
5479,1983-08-26,9.5
5480,1983-08-27,9.5
5481,1983-08-28,9.5
5482,1983-08-29,9.5
5483,1983-08-30,9.5
5484,1983-08-31,9.5
5485,1983-09-01,9.5
5486,1983-09-02,9.5
5487,1983-09-03,9.5
5488,1983-09-04,9.5
5489,1983-09-05,9.5
5490,1983-09-06,9.5
5491,1983-09-07,9.5
5492,1983-09-08,9.5
5493,1983-09-09,9.5
5494,1983-09-10,9.5
5495,1983-09-11,9.5
5496,1983-09-12,9.5
5497,1983-09-13,9.5
5498,1983-09-14,9.5
5499,1983-09-15,9.375
5500,1983-09-16,9.375
5501,1983-09-17,9.375
5502,1983-09-18,9.375
5503,1983-09-19,9.375
5504,1983-09-20,9.375
5505,1983-09-21,9.375
5506,1983-09-22,9.375
5507,1983-09-23,9.375
5508,1983-09-24,9.375
5509,1983-09-25,9.375
5510,1983-09-26,9.375
5511,1983-09-27,9.375
5512,1983-09-28,9.375
5513,1983-09-29,9.375
5514,1983-09-30,9.375
5515,1983-10-01,9.375
5516,1983-10-02,9.375
5517,1983-10-03,9.375
5518,1983-10-04,9.375
